1890959	1890959,85326,23007,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1890960	1890960,85326,23027,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1890973	1890973,85326,22815,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1890977	1890977,85326,22942,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1890978	1890978,85326,22947,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1890981	1890981,85326,22709,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1891001	1891001,85326,22701,W EUCLID AVE,"",BUCKEYE,AZ,33.23735,-112.58538
1939234	1939234,85338,13355,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1939235	1939235,85338,13311,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1939244	1939244,85338,13404,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940361	1940361,85338,16559,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940362	1940362,85338,16553,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940366	1940366,85338,16529,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940372	1940372,85338,16547,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940373	1940373,85338,16541,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1940374	1940374,85338,16535,W EUCLID AVE,"",GOODYEAR,AZ,33.37252,-112.40826
1956103	1956103,85041,4749,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1956122	1956122,85041,4635,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1956123	1956123,85041,4611,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1956124	1956124,85041,4527,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1956125	1956125,85041,4523,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1956126	1956126,85041,4511,W EUCLID AVE,"",PHOENIX,AZ,33.38643,-112.10928
1959483	1959483,85043,5824,W EUCLID AVE,"",PHOENIX,AZ,33.4323,-112.19744
1959484	1959484,85043,5837,W EUCLID AVE,"",PHOENIX,AZ,33.4323,-112.19744
1959486	1959486,85043,5844,W EUCLID AVE,"",PHOENIX,AZ,33.4323,-112.19744
1959494	1959494,85043,5832,W EUCLID AVE,"",PHOENIX,AZ,33.4323,-112.19744
